ilNumarasi,birimID,birimAdi
1,1000230,Adana 1. Ağır Ceza Mahkemesi
1,1000231,Adana 2. Ağır Ceza Mahkemesi
1,1000232,Adana 3. Ağır Ceza Mahkemesi
1,1011059,Adana 4. Ağır Ceza Mahkemesi
1,1011060,Adana 5. Ağır Ceza Mahkemesi
1,1040702,Adana 6. Ağır Ceza Mahkemesi
1,1040703,Adana 7. Ağır Ceza Mahkemesi
1,1040704,Adana 8. Ağır Ceza Mahkemesi
1,1036191,Adana 9. Ağır Ceza Mahkemesi
1,1044565,Adana 10. Ağır Ceza Mahkemesi
1,1036855,Adana 11. Ağır Ceza Mahkemesi
1,1049923,Adana 12. Ağır Ceza Mahkemesi
1,1049924,Adana 13. Ağır Ceza Mahkemesi
1,1052879,Adana 14. Ağır Ceza Mahkemesi
1,1066073,Adana 15. Ağır Ceza Mahkemesi
1,1066074,Adana 16. Ağır Ceza Mahkemesi
1,1012084,Adana(Kapatılan) 6. Ağır Ceza Mahkemesi (CMK 250 ile Yetkili)
1,1012085,Adana(Kapatılan) 7. Ağır Ceza Mahkemesi(CMK 250 ile Yetkili)
1,1016136,Adana(Kapatılan) 8. Ağır Ceza Mahkemesi (TMK 10. Maddesi ile Görevli)
1,1036685,Adana(Kapatılan) 10. Ağır Ceza Mahkemesi (TMK 10. Maddesi ile Görevli)
1,1002621,Ceyhan 1. Ağır Ceza Mahkemesi
1,1037775,Ceyhan 2. Ağır Ceza Mahkemesi
1,1006055,Kozan Ağır Ceza Mahkemesi
1,1011019,Adana 1. Aile Mahkemesi
1,1011020,Adana 2. Aile Mahkemesi
1,1011021,Adana 3. Aile Mahkemesi
1,1011022,Adana 4. Aile Mahkemesi
1,1015988,Adana 5. Aile Mahkemesi
1,1029831,Adana 6. Aile Mahkemesi
1,1036211,Adana 7. Aile Mahkemesi
1,1037724,Adana 8. Aile Mahkemesi
1,1037725,Adana 9. Aile Mahkemesi
1,1054480,Adana 10. Aile Mahkemesi
1,1054481,Adana 11. Aile Mahkemesi
1,1054482,Adana 12. Aile Mahkemesi
1,1054483,Adana 13. Aile Mahkemesi
1,1066095,Adana 14. Aile Mahkemesi
1,1066096,Adana 15. Aile Mahkemesi
1,1066097,Adana 16. Aile Mahkemesi
